name,gap,time,total_nodes,total_cuts,nSepa,nSepaHaveCut,tDecision
portcgen-200-1005,0.13,54.412,22,0,31,19,47.3661
portcgen-200-1019,0.34,68.483,45,0,52,15,60.4774
portcgen-200-1016,0.84,70.597,41,0,50,21,62.5841
portcgen-200-1008,0.00,10.468,2,0,10,7,1.5012
portcgen-200-1001,0.57,93.054,57,0,65,23,82.7788
portcgen-200-1017,0.34,102.581,70,0,80,30,96.8768
portcgen-200-1013,0.12,107.715,29,0,40,27,95.0532
portcgen-200-1003,0.76,133.541,60,0,74,37,126.5054
portcgen-200-1006,0.06,31.665,13,0,19,11,24.1793
portcgen-200-1000,0.48,33.648,25,0,33,14,28.7110
portcgen-200-1012,0.49,105.598,57,0,74,28,94.6326
portcgen-200-1007,0.66,56.781,35,0,40,16,50.0855
portcgen-200-1014,0.99,198.975,145,0,157,42,187.5674
portcgen-200-1011,0.69,228.409,126,0,146,60,221.4619
portcgen-200-1002,0.55,169.720,56,0,64,39,155.7989
portcgen-200-1018,0.66,258.769,162,0,177,77,251.5299
portcgen-200-1010,0.95,188.143,98,0,114,64,176.1486
portcgen-200-1015,0.96,322.709,175,0,188,108,313.2162
portcgen-200-1009,0.95,371.483,214,0,238,91,355.9275
portcgen-200-1004,0.88,360.753,218,0,229,77,349.4639
