name,gap,time,total_nodes,total_cuts,nSepa,nSepaHaveCut,tDecision
portcgen-200-1008,0.00,9.941,2,0,10,7,1.6375
portcgen-200-1000,0.48,43.149,25,0,33,14,35.7441
portcgen-200-1006,0.06,43.638,13,0,19,11,35.4040
portcgen-200-1005,0.13,76.202,22,0,31,19,67.0036
portcgen-200-1016,0.84,80.826,41,0,50,21,75.7498
portcgen-200-1019,0.34,90.842,45,0,52,15,79.5887
portcgen-200-1007,0.66,95.180,35,0,40,16,88.5067
portcgen-200-1012,0.49,120.243,57,0,74,28,109.8014
portcgen-200-1001,0.57,123.906,57,0,65,23,107.2427
portcgen-200-1017,0.34,134.785,70,0,80,30,126.1625
portcgen-200-1013,0.12,145.873,29,0,40,27,132.4263
portcgen-200-1003,0.76,162.309,60,0,74,37,152.3046
portcgen-200-1002,0.55,171.839,56,0,64,39,163.3342
portcgen-200-1010,0.95,216.222,98,0,114,64,205.5677
portcgen-200-1011,0.69,234.992,126,0,146,60,226.5156
portcgen-200-1014,0.99,242.956,145,0,157,42,231.2878
portcgen-200-1015,0.96,298.533,175,0,188,108,289.2517
portcgen-200-1009,0.95,311.948,214,0,238,91,299.0175
portcgen-200-1018,0.66,313.676,162,0,177,77,304.3319
portcgen-200-1004,0.88,321.301,218,0,229,77,310.7412
