name,gap,time,total_nodes,total_cuts,nSepa,nSepaHaveCut,tDecision
portcgen-200-1087,0.59,5.165,1,0,9,8,0
portcgen-200-1008,0,11.089,2,0,10,7,1.7468
portcgen-200-1090,0.08,22.066,14,0,17,10,17.2153
portcgen-200-1038,0.26,23.246,12,0,19,11,15.8812
portcgen-200-1054,0,34,10,0,21,15,26.2664
portcgen-200-1020,0.26,38.872,19,0,23,13,31.3007
portcgen-200-1000,0.48,47.888,25,0,33,14,40.4079
portcgen-200-1006,0.06,48.173,13,0,19,11,37.8213
portcgen-200-1075,0.28,51.804,23,0,34,20,44.0275
portcgen-200-1042,0.22,51.966,28,0,33,11,40.2674
portcgen-200-1092,0.43,54.14,31,0,43,18,45.3154
portcgen-200-1063,0.21,60.779,27,0,36,17,53.6987
portcgen-200-1035,0.15,61.012,18,0,28,15,45.0707
portcgen-200-1081,0.67,64.357,34,0,41,12,49.5271
portcgen-200-1089,0.29,66.37,31,0,40,19,57.1084
portcgen-200-1076,0.05,68.412,23,0,32,22,59.5386
portcgen-200-1050,0.32,69.984,25,0,38,28,55.7871
portcgen-200-1065,0.34,72.537,27,0,37,16,59.2789
portcgen-200-1046,0.19,73.103,26,0,38,18,60.8978
portcgen-200-1071,0.71,74.306,37,0,50,23,66.146
portcgen-200-1022,0.26,75.229,27,0,40,21,66.5827
portcgen-200-1073,0.78,77.108,45,0,60,31,70.8763
portcgen-200-1005,0.13,77.681,22,0,31,19,65.0641
portcgen-200-1040,0.55,81.013,14,0,25,18,70.3719
portcgen-200-1016,0.84,81.928,41,0,50,21,74.3927
portcgen-200-1067,0.49,85.68,39,0,46,20,79.4014
portcgen-200-1091,0.38,85.225,32,0,43,29,75.4696
portcgen-200-1019,0.34,85.046,45,0,52,15,72.6382
portcgen-200-1077,0.66,85.833,21,0,34,28,72.1125
portcgen-200-1049,0.42,86.666,21,0,31,23,77.5286
portcgen-200-1098,0.48,88.143,42,0,57,22,77.1015
portcgen-200-1066,0.22,88.18,27,0,39,22,78.4046
portcgen-200-1028,0.08,94.602,25,0,39,22,76.8206
portcgen-200-1023,0.46,95.927,27,0,37,21,83.8437
portcgen-200-1007,0.66,97.715,35,0,40,16,89.4043
portcgen-200-1024,0.87,99.884,46,0,55,26,91.714
portcgen-200-1095,0.75,101.283,42,0,52,26,93.4682
portcgen-200-1056,0.4,106.506,52,0,61,24,99.4615
portcgen-200-1052,0.47,113.562,43,0,49,27,106.0835
portcgen-200-1058,0.67,115.067,50,0,62,34,105.4746
portcgen-200-1001,0.57,118.734,57,0,65,23,100.8344
portcgen-200-1034,0.51,120.809,49,0,60,22,108.9787
portcgen-200-1061,0.51,123.784,56,0,72,37,111.0877
portcgen-200-1012,0.49,125.387,57,0,74,28,111.7434
portcgen-200-1048,0.5,126.666,62,0,74,31,118.2396
portcgen-200-1072,0.65,126.049,38,0,45,24,112.9036
portcgen-200-1013,0.12,129.638,29,0,40,27,115.5449
portcgen-200-1099,0.66,131.307,46,0,61,36,123.9139
portcgen-200-1017,0.34,132.57,70,0,80,30,124.1744
portcgen-200-1045,0.72,136.003,76,0,83,43,127.9447
portcgen-200-1074,0.67,137.819,42,0,61,32,125.7578
portcgen-200-1085,0.92,138.579,56,0,68,31,129.0728
portcgen-200-1027,0.19,150.523,29,0,40,28,125.7786
portcgen-200-1070,0.46,149.642,29,0,39,26,134.1808
portcgen-200-1029,0.42,151.845,34,0,49,42,141.6367
portcgen-200-1051,0.78,152.23,47,0,57,32,139.3126
portcgen-200-1094,0.66,152.773,59,0,67,34,143.1647
portcgen-200-1080,0.85,153.907,56,0,78,44,143.6659
portcgen-200-1003,0.76,160.16,60,0,74,37,149.0994
portcgen-200-1041,0.69,163.315,46,0,58,42,152.8625
portcgen-200-1039,0.69,169.205,65,0,77,48,158.4701
portcgen-200-1037,0.84,171.009,76,0,97,69,164.3101
portcgen-200-1025,0.71,172.156,81,0,93,37,159.8773
portcgen-200-1096,0.56,173.475,51,0,65,50,162.5043
portcgen-200-1093,0.99,173.227,89,0,108,49,163.7984
portcgen-200-1086,0.63,176.3,64,0,81,33,161.8104
